userId,goodsId
100,111111
101,111111
102,111111
103,111111
104,111111
105,111111
106,111111
107,111111
108,111111
109,111111
110,111111
111,111111
112,111111
113,111111
114,111111
115,111111
116,111111
117,111111
118,111111
119,111111
120,111111
121,111111
122,111111
123,111111
124,111111
125,111111
126,111111
127,111111
128,111111
129,111111
130,111111
131,111111
132,111111
133,111111
134,111111
135,111111
136,111111
137,111111
138,111111
139,111111
140,111111
141,111111
142,111111
143,111111
144,111111
145,111111
146,111111
147,111111
148,111111
149,111111
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,111111
159,111111
160,111111
161,111111
162,111111
163,111111
164,111111
165,111111
166,111111
167,111111
168,111111
169,111111
170,111111
171,111111
172,111111
173,111111
174,111111
175,111111
176,111111
177,111111
178,111111
179,111111
180,111111
181,111111
182,111111
183,111111
184,111111
185,111111
186,111111
187,111111
188,111111
189,111111
190,111111
191,111111
192,111111
193,111111
194,111111
195,111111
196,111111
197,111111
198,111111
199,111111
200,111111
